('facebook', 'com')
('homo-squatting: phone-based vowel-swap', 'facebuok')
('homo-squatting: phone-based vowel-swap', 'facebook')
('homo-squatting: phone-based vowel-swap', 'faceboik')
('homo-squatting: phone-based vowel-swap', 'facebouk')
('homo-squatting: phone-based vowel-swap', 'facabook')
('homo-squatting: phone-based vowel-swap', 'focebook')
('homo-squatting: phone-based vowel-swap', 'ficebook')
('homo-squatting: phone-based vowel-swap', 'faceboak')
('combo-squatting: hyphenation', '-facebook')
('combo-squatting: hyphenation', 'f-acebook')
('combo-squatting: hyphenation', 'fa-cebook')
('combo-squatting: hyphenation', 'fac-ebook')
('combo-squatting: hyphenation', 'face-book')
('combo-squatting: hyphenation', 'faceb-ook')
('combo-squatting: hyphenation', 'facebo-ok')
('combo-squatting: hyphenation', 'faceboo-k')
('combo-squatting: hyphenation', 'facebook-')
('typo-squatting: addition', 'facebooka')
('typo-squatting: addition', 'facebookb')
('typo-squatting: addition', 'facebookc')
('typo-squatting: addition', 'facebookd')
('typo-squatting: addition', 'facebooke')
('typo-squatting: addition', 'facebookf')
('typo-squatting: addition', 'facebookg')
('typo-squatting: addition', 'facebookh')
('typo-squatting: addition', 'facebooki')
('typo-squatting: addition', 'facebookj')
('typo-squatting: addition', 'facebookk')
('typo-squatting: addition', 'facebookl')
('typo-squatting: addition', 'facebookm')
('typo-squatting: addition', 'facebookn')
('typo-squatting: addition', 'facebooko')
('typo-squatting: addition', 'facebookp')
('typo-squatting: addition', 'facebookq')
('typo-squatting: addition', 'facebookr')
('typo-squatting: addition', 'facebooks')
('typo-squatting: addition', 'facebookt')
('typo-squatting: addition', 'facebooku')
('typo-squatting: addition', 'facebookv')
('typo-squatting: addition', 'facebookw')
('typo-squatting: addition', 'facebookx')
('typo-squatting: addition', 'facebooky')
('typo-squatting: addition', 'facebookz')
('typo-squatting: insertion', 'facesbook')
('typo-squatting: insertion', 'faceb0ook')
('typo-squatting: insertion', 'facebvook')
('typo-squatting: insertion', 'facvebook')
('typo-squatting: insertion', 'f1acebook')
('typo-squatting: insertion', 'facrebook')
('typo-squatting: insertion', 'favcebook')
('typo-squatting: insertion', 'facebolok')
('typo-squatting: insertion', 'facdebook')
('typo-squatting: insertion', 'fascebook')
('typo-squatting: insertion', 'facevbook')
('typo-squatting: insertion', 'faceblook')
('typo-squatting: insertion', 'faxcebook')
('typo-squatting: insertion', 'fafcebook')
('typo-squatting: insertion', 'facebooik')
('typo-squatting: insertion', 'facedbook')
('typo-squatting: insertion', 'fawcebook')
('typo-squatting: insertion', 'facebokok')
('typo-squatting: insertion', 'faqcebook')
('typo-squatting: insertion', 'faceboolk')
('typo-squatting: insertion', 'facegbook')
('typo-squatting: insertion', 'fac4ebook')
('typo-squatting: insertion', 'faceboo0k')
('typo-squatting: insertion', 'facebo0ok')
('typo-squatting: insertion', 'fadcebook')
('typo-squatting: insertion', 'facwebook')
('typo-squatting: insertion', 'face3book')
('typo-squatting: insertion', 'fac3ebook')
('typo-squatting: insertion', 'facebgook')
('typo-squatting: insertion', 'facewbook')
('typo-squatting: insertion', 'fazcebook')
('typo-squatting: insertion', 'f2acebook')
('typo-squatting: insertion', 'faceboo9k')
('typo-squatting: insertion', 'faceboopk')
('typo-squatting: insertion', 'fwacebook')
('typo-squatting: insertion', 'faceboiok')
('typo-squatting: insertion', 'fqacebook')
('typo-squatting: insertion', 'face4book')
('typo-squatting: insertion', 'facebpook')
('typo-squatting: insertion', 'facebkook')
('typo-squatting: insertion', 'facfebook')
('typo-squatting: insertion', 'facsebook')
('typo-squatting: insertion', 'facebnook')
('typo-squatting: insertion', 'facebhook')
('typo-squatting: insertion', 'facezbook')
('typo-squatting: insertion', 'facebopok')
('typo-squatting: insertion', 'facebo9ok')
('typo-squatting: insertion', 'fyacebook')
('typo-squatting: insertion', 'facehbook')
('typo-squatting: insertion', 'facebiook')
('typo-squatting: insertion', 'fa2cebook')
('typo-squatting: insertion', 'facerbook')
('typo-squatting: insertion', 'facxebook')
('typo-squatting: insertion', 'fa1cebook')
('typo-squatting: insertion', 'facebookk')
('typo-squatting: insertion', 'faceb9ook')
('typo-squatting: insertion', 'fsacebook')
('typo-squatting: insertion', 'facenbook')
('typo-squatting: insertion', 'faczebook')
('typo-squatting: insertion', 'faycebook')
('typo-squatting: insertion', 'fzacebook')
('typo-squatting: omission', 'faceook')
('typo-squatting: omission', 'facbook')
('typo-squatting: omission', 'acebook')
('typo-squatting: omission', 'fcebook')
('typo-squatting: omission', 'faebook')
('typo-squatting: omission', 'faceboo')
('typo-squatting: omission', 'facebok')
('typo-squatting: repetition', 'faacebook')
('typo-squatting: repetition', 'faceboook')
('typo-squatting: repetition', 'faceebook')
('typo-squatting: repetition', 'facebbook')
('typo-squatting: repetition', 'faccebook')
('typo-squatting: repetition', 'facebookk')
('typo-squatting: repetition', 'ffacebook')
('typo-squatting: replacement', 'faceblok')
('typo-squatting: replacement', 'vacebook')
('typo-squatting: replacement', 'facebo0k')
('typo-squatting: replacement', 'gacebook')
('typo-squatting: replacement', 'faceb0ok')
('typo-squatting: replacement', 'faczbook')
('typo-squatting: replacement', 'facebolk')
('typo-squatting: replacement', 'facebkok')
('typo-squatting: replacement', 'f1cebook')
('typo-squatting: replacement', 'tacebook')
('typo-squatting: replacement', 'facrbook')
('typo-squatting: replacement', 'racebook')
('typo-squatting: replacement', 'fwcebook')
('typo-squatting: replacement', 'fscebook')
('typo-squatting: replacement', 'favebook')
